sample_id,color_exists,gray_exists,id_exists,color_shape,color_unique_quantized,color_components,color_small_components,color_holes,gray_shape,gray_unique,gray_components,gray_small_components,gray_holes,id_shape,id_num_classes,id_classes_preview,id_components_global,id_small_components_global,id_holes_global,color_id_presence_mismatch_ratio,status,reasons
LabelMulti_N_1,True,True,True,"(971, 259)",123,12,0,3,"(971, 259)",165,193,191,48,"(971, 259)",0,[],0,0,0,0.19952761353379272,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_10,True,True,True,"(778, 311)",113,4,0,1,"(778, 311)",152,101,98,22,"(778, 311)",0,[],0,0,0,0.13301068780532158,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_11,True,True,True,"(727, 181)",111,5,0,3,"(727, 181)",156,110,106,28,"(727, 181)",0,[],0,0,0,0.17196227590871438,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_12,True,True,True,"(986, 164)",112,6,0,5,"(986, 164)",150,146,144,28,"(986, 164)",0,[],0,0,0,0.24105773512096176,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_13,True,True,True,"(736, 149)",104,8,0,3,"(736, 149)",149,111,110,34,"(736, 149)",0,[],0,0,0,0.22846148234607527,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_14,True,True,True,"(734, 169)",113,3,0,3,"(734, 169)",151,104,102,23,"(734, 169)",0,[],0,0,0,0.19157409348145044,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_15,True,True,True,"(692, 177)",109,6,0,1,"(692, 177)",148,117,115,33,"(692, 177)",0,[],0,0,0,0.24303582508735835,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_16,True,True,True,"(878, 310)",109,8,0,0,"(878, 310)",149,144,140,23,"(878, 310)",0,[],0,0,0,0.11432875303108238,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_17,True,True,True,"(918, 211)",114,4,0,4,"(918, 211)",155,132,129,27,"(918, 211)",0,[],0,0,0,0.1991657115716218,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_18,True,True,True,"(782, 164)",103,6,0,5,"(782, 164)",141,127,125,34,"(782, 164)",0,[],0,0,0,0.25189476639011915,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_19,True,True,True,"(852, 232)",118,13,0,0,"(852, 232)",165,168,167,48,"(852, 232)",0,[],0,0,0,0.1742907155577141,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_2,True,True,True,"(828, 218)",115,5,0,5,"(828, 218)",158,137,136,47,"(828, 218)",0,[],0,0,0,0.18939746487612463,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_20,True,True,True,"(960, 212)",115,8,0,2,"(960, 212)",156,135,131,24,"(960, 212)",0,[],0,0,0,0.18383942610062892,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_21,True,True,True,"(719, 182)",113,2,0,1,"(719, 182)",158,92,91,12,"(719, 182)",0,[],0,0,0,0.15457977349493343,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_22,True,True,True,"(929, 205)",114,9,0,7,"(929, 205)",151,175,174,50,"(929, 205)",0,[],0,0,0,0.22608102076715061,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_23,True,True,True,"(878, 241)",116,3,0,3,"(878, 241)",157,128,127,26,"(878, 241)",0,[],0,0,0,0.1529315021881114,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_24,True,True,True,"(606, 164)",109,4,0,1,"(606, 164)",149,94,93,26,"(606, 164)",0,[],0,0,0,0.24182967077195525,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_25,True,True,True,"(817, 155)",99,11,0,6,"(817, 155)",134,144,142,55,"(817, 155)",0,[],0,0,0,0.24454534686303156,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_26,True,True,True,"(679, 157)",108,11,0,3,"(679, 157)",143,163,161,39,"(679, 157)",0,[],0,0,0,0.21414031500051595,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_27,True,True,True,"(672, 187)",85,11,0,4,"(672, 187)",119,119,117,31,"(672, 187)",0,[],0,0,0,0.16874363381716323,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_28,True,True,True,"(780, 165)",98,10,0,2,"(780, 165)",135,142,138,37,"(780, 165)",0,[],0,0,0,0.2017171717171717,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_29,True,True,True,"(844, 155)",123,18,0,0,"(844, 155)",163,172,170,34,"(844, 155)",0,[],0,0,0,0.22483565204097233,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_3,True,True,True,"(939, 206)",117,8,0,1,"(939, 206)",157,145,144,49,"(939, 206)",0,[],0,0,0,0.2578450530930447,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_30,True,True,True,"(846, 201)",95,14,0,3,"(846, 201)",135,145,141,36,"(846, 201)",0,[],0,0,0,0.15120614421979936,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_31,True,True,True,"(722, 238)",81,6,0,2,"(722, 238)",114,135,134,39,"(722, 238)",0,[],0,0,0,0.1383586675667497,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_32,True,True,True,"(855, 222)",121,14,0,1,"(855, 222)",166,152,151,45,"(855, 222)",0,[],0,0,0,0.14895421737527,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_33,True,True,True,"(788, 201)",121,11,0,2,"(788, 201)",157,150,149,50,"(788, 201)",0,[],0,0,0,0.14946208046064097,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_34,True,True,True,"(927, 202)",94,17,0,0,"(927, 202)",136,237,231,39,"(927, 202)",0,[],0,0,0,0.2877748939942538,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_35,True,True,True,"(712, 230)",112,12,0,4,"(712, 230)",148,101,97,38,"(712, 230)",0,[],0,0,0,0.15362115290669273,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_36,True,True,True,"(608, 168)",91,13,0,0,"(608, 168)",123,113,110,30,"(608, 168)",0,[],0,0,0,0.1689967105263158,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_37,True,True,True,"(851, 234)",118,14,0,1,"(851, 234)",157,164,161,41,"(851, 234)",0,[],0,0,0,0.14306446915142568,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_38,True,True,True,"(874, 185)",118,18,0,0,"(874, 185)",159,199,197,54,"(874, 185)",0,[],0,0,0,0.22961840559094562,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_39,True,True,True,"(889, 222)",80,15,0,0,"(889, 222)",129,211,203,36,"(889, 222)",0,[],0,0,0,0.20378702662167228,repair,"['gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_4,True,True,True,"(878, 204)",111,8,0,1,"(878, 204)",148,122,120,31,"(878, 204)",0,[],0,0,0,0.16856492027334852,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_40,True,True,True,"(754, 266)",122,10,0,2,"(754, 266)",157,182,177,38,"(754, 266)",0,[],0,0,0,0.14878542510121456,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_41,True,True,True,"(943, 153)",135,10,0,5,"(943, 153)",170,134,132,46,"(943, 153)",0,[],0,0,0,0.22674124439454113,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_42,True,True,True,"(769, 142)",125,8,0,4,"(769, 142)",164,144,142,41,"(769, 142)",0,[],0,0,0,0.2110661367424312,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_43,True,True,True,"(703, 168)",127,15,0,2,"(703, 168)",154,122,120,28,"(703, 168)",0,[],0,0,0,0.1629834721939985,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_44,True,True,True,"(743, 217)",123,11,0,0,"(743, 217)",165,147,146,34,"(743, 217)",0,[],0,0,0,0.16004366405964113,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_45,True,True,True,"(882, 231)",107,16,0,0,"(882, 231)",141,181,173,38,"(882, 231)",0,[],0,0,0,0.16565558402293096,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_46,True,True,True,"(719, 253)",112,12,0,1,"(719, 253)",150,131,129,32,"(719, 253)",0,[],0,0,0,0.1288350640712012,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_47,True,True,True,"(712, 174)",121,10,0,1,"(712, 174)",156,100,99,34,"(712, 174)",0,[],0,0,0,0.16068545783288132,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_48,True,True,True,"(666, 178)",116,9,0,1,"(666, 178)",162,102,101,31,"(666, 178)",0,[],0,0,0,0.16816816816816818,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_49,True,True,True,"(753, 123)",114,14,0,1,"(753, 123)",147,136,134,43,"(753, 123)",0,[],0,0,0,0.27656312419697904,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_5,True,True,True,"(666, 172)",104,3,0,0,"(666, 172)",138,108,107,14,"(666, 172)",0,[],0,0,0,0.15032474334799917,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_50,True,True,True,"(646, 147)",108,11,0,0,"(646, 147)",149,119,116,29,"(646, 147)",0,[],0,0,0,0.22789115646258504,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_51,True,True,True,"(789, 154)",116,11,0,0,"(789, 154)",156,148,147,37,"(789, 154)",0,[],0,0,0,0.23742860434875643,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_52,True,True,True,"(714, 202)",128,12,0,3,"(714, 202)",165,118,116,43,"(714, 202)",0,[],0,0,0,0.17463321962448344,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_53,True,True,True,"(673, 190)",111,13,0,0,"(673, 190)",147,96,95,41,"(673, 190)",0,[],0,0,0,0.14369281301321654,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_54,True,True,True,"(718, 181)",121,10,0,2,"(718, 181)",170,116,112,35,"(718, 181)",0,[],0,0,0,0.1829052463103464,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_55,True,True,True,"(713, 180)",110,12,0,1,"(713, 180)",148,123,120,43,"(713, 180)",0,[],0,0,0,0.18006856786660433,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_56,True,True,True,"(715, 168)",111,14,0,5,"(715, 168)",152,120,117,45,"(715, 168)",0,[],0,0,0,0.19764402264402264,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_57,True,True,True,"(656, 205)",123,15,0,1,"(656, 205)",163,109,107,31,"(656, 205)",0,[],0,0,0,0.1481186793575253,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_58,True,True,True,"(794, 159)",117,15,0,1,"(794, 159)",157,195,194,33,"(794, 159)",0,[],0,0,0,0.2250843591084074,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_59,True,True,True,"(827, 167)",108,16,0,2,"(827, 167)",152,176,172,35,"(827, 167)",0,[],0,0,0,0.2295433317162531,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_6,True,True,True,"(920, 186)",101,12,0,1,"(920, 186)",142,141,139,53,"(920, 186)",0,[],0,0,0,0.1943431510051426,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_60,True,True,True,"(706, 161)",113,16,0,0,"(706, 161)",152,129,126,35,"(706, 161)",0,[],0,0,0,0.19384864427357346,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_61,True,True,True,"(717, 291)",125,11,0,2,"(717, 291)",169,177,175,47,"(717, 291)",0,[],0,0,0,0.12069667907997719,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_62,True,True,True,"(656, 191)",107,13,0,0,"(656, 191)",150,124,123,40,"(656, 191)",0,[],0,0,0,0.1936614097816371,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_63,True,True,True,"(814, 167)",104,17,0,1,"(814, 167)",140,211,208,31,"(814, 167)",0,[],0,0,0,0.2522767732348571,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_64,True,True,True,"(919, 210)",123,17,0,0,"(919, 210)",159,194,191,57,"(919, 210)",0,[],0,0,0,0.2230115550028499,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_65,True,True,True,"(816, 210)",118,14,0,2,"(816, 210)",156,174,169,40,"(816, 210)",0,[],0,0,0,0.1764355742296919,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_66,True,True,True,"(661, 180)",127,12,0,1,"(661, 180)",166,122,119,42,"(661, 180)",0,[],0,0,0,0.1681206925533703,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_67,True,True,True,"(759, 213)",117,17,0,1,"(759, 213)",158,188,183,37,"(759, 213)",0,[],0,0,0,0.20057896787841675,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_68,True,True,True,"(663, 139)",112,15,0,2,"(663, 139)",159,145,143,33,"(663, 139)",0,[],0,0,0,0.2473170784639257,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_69,True,True,True,"(905, 179)",99,16,0,1,"(905, 179)",138,189,188,53,"(905, 179)",0,[],0,0,0,0.3041513626963795,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_7,True,True,True,"(937, 220)",119,7,0,3,"(937, 220)",156,179,177,48,"(937, 220)",0,[],0,0,0,0.24431454351411663,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_70,True,True,True,"(855, 260)",94,13,0,0,"(855, 260)",137,147,144,45,"(855, 260)",0,[],0,0,0,0.18788573999100314,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_71,True,True,True,"(595, 150)",109,12,0,0,"(595, 150)",153,96,94,29,"(595, 150)",0,[],0,0,0,0.18408963585434174,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_8,True,True,True,"(858, 229)",117,7,0,1,"(858, 229)",158,96,95,29,"(858, 229)",0,[],0,0,0,0.11763927484451502,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_N_9,True,True,True,"(633, 157)",101,5,0,1,"(633, 157)",147,87,86,21,"(633, 157)",0,[],0,0,0,0.1681206669282861,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_S_100,True,True,True,"(970, 594)",86,12,0,0,"(970, 594)",125,246,245,93,"(970, 594)",0,[],0,0,0,0.12479433510361346,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_S_101,True,True,True,"(2589, 983)",112,18,0,0,"(2589, 983)",142,682,673,181,"(2589, 983)",0,[],0,0,0,0.15041569956938877,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_S_102,True,True,True,"(3125, 975)",109,17,0,1,"(3125, 975)",136,906,894,175,"(3125, 975)",0,[],0,0,0,0.14343483076923078,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_S_103,True,True,True,"(2475, 822)",126,19,0,0,"(2475, 822)",160,780,773,129,"(2475, 822)",0,[],0,0,0,0.1228007569613409,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_S_104,True,True,True,"(2593, 1040)",88,11,0,5,"(2593, 1040)",127,568,564,126,"(2593, 1040)",0,[],0,0,0,0.11666172238867958,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_S_105,True,True,True,"(2938, 1165)",111,18,0,0,"(2938, 1165)",146,865,856,137,"(2938, 1165)",0,[],0,0,0,0.0986586887228765,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_S_106,True,True,True,"(2920, 1014)",130,21,0,0,"(2920, 1014)",166,754,746,85,"(2920, 1014)",0,[],0,0,0,0.07995393261462809,repair,"['too_many_quantized_colors', 'gray_noise', 'id_empty', 'color_id_mismatch']"
LabelMulti_S_107,True,True,True,"(2973, 1954)",0,0,0,0,"(2973, 1954)",1,0,0,0,"(2973, 1954)",0,[],0,0,0,0.0,discard,['id_empty']
